index,k__Metazoa;p__Chordata;c__Actinopteri;o__Myctophiformes;f__Myctophidae;g__Lampanyctus;s__,k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii,k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__,k__Metazoa;p__Chordata;c__Actinopteri;o__Myctophiformes;f__Myctophidae;g__Stenobrachius;s__,k__Metazoa;p__Chordata;c__Actinopteri;o__Uranoscopiformes;f__Ammodytidae;g__Ammodytes;s__personatus,k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Salangidae;g__Mallotus;s__villosus,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Zaproridae;g__Zaprora;s__silenus,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Trichodontidae;g__Trichodon;s__trichodon,k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__;s__,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Hexagrammidae;g__Hexagrammos;s__,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Bathymasteridae;g__Bathymaster;s__signatus,k__Metazoa;p__Chordata;c__Actinopteri;o__Aulopiformes;f__Notosudidae;g__Scopelosaurus;s__harryi,k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Osmeridae;g__Thaleichthys;s__pacificus,k__Metazoa;p__Chordata;c__Actinopteri;o__Beryciformes;f__Melamphaidae;g__Poromitra;s__crassiceps,k__Metazoa;p__Chordata;c__Actinopteri;o__Salmoniformes;f__Salmonidae;g__Oncorhynchus;s__,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cryptacanthodidae;g__Cryptacanthodes;s__,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Sebastidae;g__Sebastes;s__,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Zoarcidae;g__Lycodapus;s__,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__Hemilepidotus;s__hemilepidotus,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Stichaeidae;g__Leptoclinus;s__maculatus,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Jordaniidae;g__Jordania;s__zonope,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Stichaeidae;g__Anoplarchus;s__,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Anoplopomatidae;g__Anoplopoma;s__fimbria,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__Artedius;s__harringtoni,k__Metazoa;p__Chordata;c__Actinopteri;o__Pleuronectiformes;f__Pleuronectidae;g__Atheresthes;s__stomias,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__Clinocottus;s__acuticeps,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__;s__,k__Metazoa;p__Chordata;c__Actinopteri;o__Salmoniformes;f__Salmonidae;g__Salmo;s__salar,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Rhamphocottidae;g__Rhamphocottus;s__richardsonii,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Hexagrammidae;g__Ophiodon;s__elongatus,k__Metazoa;p__Chordata;c__Actinopteri;o__Pleuronectiformes;f__Pleuronectidae;g__;s__,k__Metazoa;p__Chordata;c__Actinopteri;o__Scombriformes;f__Centrolophidae;g__Icichthys;s__lockingtoni,k__Metazoa;p__Chordata;c__Actinopteri;o__Myctophiformes;f__Myctophidae;g__Diaphus;s__theta,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__Enophrys;s__bison,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Liparidae;g__Liparis;s__florae,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Agonidae;g__Nautichthys;s__oculofasciatus,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Liparidae;g__Liparis;s__greeni,Species,Colony,Age,Year,Type,Plate
BLKI-MID-AD-2024-1,598,757,0,2500,0,0,0,0,0,68,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-10,0,0,0,400,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-11,160590,6429,54,4349,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-13,31454,0,0,236875,0,0,0,0,0,0,74019,0,0,0,0,29317,0,0,1331,0,0,0,46,0,7762,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-14,333,0,0,108650,0,0,0,0,0,0,389,0,0,0,0,7002,0,0,15,0,0,0,7,0,103,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-15,0,0,0,98,0,0,0,0,0,0,0,0,63877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-17,258,1409,0,1155,0,197,0,0,0,0,0,0,9950,0,0,466,0,0,752,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-2,237,0,0,189,0,283,0,0,0,3929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-20,0,478,0,772,0,0,0,0,0,0,577,0,47946,0,0,10876,0,0,693,0,0,0,0,0,1680,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-21,0,218,0,89,0,497,0,0,0,0,0,0,2535,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-23,0,3188,0,16,0,24801,0,0,0,0,0,0,13957,0,0,0,17,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-24,0,1289,0,0,0,313,0,0,0,716,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-25,0,0,0,0,0,3674,0,0,0,0,2525,0,326,0,0,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-26,0,2690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-27,0,8251,0,2639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-28,0,5395,0,0,0,6469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1216,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-290,0,209,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,102
BLKI-MID-AD-2024-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
